position,avestan_name,identified_region,centroid_lon,centroid_lat,confidence,syllable_count,provenance
1,Airyana Vaējah,Airyanəm Vaējō (uncertain — eastern Iran/Khorezm/Pamir foothills),73.0,38.0,low,6,"Witzel 2000 'Home of the Aryans' places in eastern Iran/upper Oxus region; Gnoli 1980 'Zoroaster's Time and Homeland' in Pamir foothills. We use a compromise mid-point. Sensitivity analysis tests alternative placements."
2,Sughdha,Sogdia (Samarkand),66.96,39.65,high,2,"Gnoli 1980; Witzel 2000. Modern Samarkand, Uzbekistan. Universally identified."
3,Mōuru,Margiana (Merv),62.18,37.66,high,2,"Gnoli 1980. Ancient Merv, modern Mary, Turkmenistan. Universally identified."
4,Bāxδī,Bactria (Balkh),66.90,36.76,high,2,"Gnoli 1980; Witzel 2000. Ancient Balkh / Bactra, northern Afghanistan. Universally identified."
5,Nisāya,Nisaya (between Mōuru and Bāxδī),64.0,36.0,medium,3,"Gnoli 1980 places between Margiana and Bactria; specific town disputed. Some place near Maymana, others further east. Mid-point of Merv-Balkh corridor used."
6,Harōiva,Areia (Herat),62.20,34.34,high,3,"Gnoli 1980; Witzel 2000. Ancient Areia, modern Herat region, western Afghanistan."
7,Vaēkərəta,Kabul region / Gandhāra,69.17,34.53,medium,4,"Gnoli 1980 identifies as Kabul region. Some scholars (Witzel) note potential association with Gandhāra further east. Kabul-centroid used."
8,Urvā,uncertain — Ghazni or Mashhad region,68.0,33.5,low,2,"Gnoli 1980 tentatively places in eastern Iran; identification disputed. Sensitivity analysis tests Mashhad alternative (~59°E, 36°N)."
9,Xnəṇta,Hyrcania (Gurgan plain),54.44,36.83,medium,2,"Gnoli 1980 identifies with Vərkana / Hyrcania, SE Caspian. Modern Gorgan plain, northern Iran."
10,Haraxᵛaitī,Arachosia (Kandahar),65.70,31.61,high,4,"Gnoli 1980; Witzel 2000. Universally identified with Arachosia, modern Kandahar region."
11,Haētumant,Helmand basin (Sistan),62.0,31.0,high,3,"Gnoli 1980. The Helmand river basin, Sistan region. Universally identified."
12,Raɣā,Rhagae (near Tehran),51.42,35.59,high,2,"Gnoli 1980. Ancient Rhagae, modern Rey south of Tehran."
13,Caxra,uncertain — possibly Carchemish or Khorasan,59.0,36.0,low,2,"Gnoli 1980 places tentatively in Khorasan. Alternative readings exist. Sensitivity analysis tests alternatives."
14,Varəna,uncertain — possibly Buner / Hazara (NW Pakistan),72.5,34.5,low,3,"Witzel 2000 tentatively associates with Buner / Hazara region of NW Pakistan; mythologically the home of Θraētaona. Other readings place further west."
15,Hapta Həṇdu,Seven Rivers (Punjab),74.0,30.7,high,4,"Universally identified with the Punjab Sapta-Sindhu of the Rigveda. Centroid of Punjab plain."
16,Raŋhā,mythic river (Volga / Jaxartes / Indus),65.0,42.0,low,2,"Most uncertain. Gnoli 1980 surveys options: Volga (~45°E, 50°N), Jaxartes/Syr Darya (~65°E, 42°N), or Indus (~68°E, 28°N). Mythic/cosmic river; we use Jaxartes as default mid-option. Sensitivity analysis tests all three."
